CÓDIGO RENIPRESS,lat,lon
00010760,-13.17524812,-72.19327968
00002550,-13.22343329,-72.33889292
00002551,-13.32506119,-72.07861864
00033062,-12.788181,-74.9759459
00031708,-12.7876497,-74.9751886
00028225,-12.7861978,-74.9764024
00016204,-12.50340383,-74.74714071
00003872,-12.5789763,-74.8142432
00003896,-12.52261097,-74.83091216
00003904,-12.51859709,-75.00931249
00004117,-12.40937596,-75.17857017
00003916,-12.61857121,-75.21186294
00007301,-12.58050515,-75.18500979
00004115,-12.42322885,-75.15325351
00012644,-12.58272194,-75.03728279
00019140,-12.73829912,-74.90519525
00007133,-12.84459854,-74.79824142
00034377,-12.860765,-74.5814773
00003936,-12.6265327,-74.69123084
00009501,-12.82467315,-74.69695734
00003940,-12.7950523,-74.68011988
00009709,-12.69441427,-74.67303704
00009696,-12.74952783,-74.7243512
00003937,-12.71975877,-74.58257872
00009693,-12.73255192,-74.61970131
00007418,-12.77119454,-74.63779234
00009135,-12.99020155,-74.72140587
00006930,-12.89338833,-74.73312333
00011200,-12.96601667,-74.62649167
00013022,-13.11753908,-75.32089159
00004019,-13.0358,-75.57298
00004010,-13.07898016,-75.24472979
00003994,-12.51617677,-74.52511377
00004050,-13.6843,-75.37556
00004038,-13.5333732,-75.3146822
00004069,-13.94916918,-75.03458416
00004041,-13.47723706,-75.2753884
00004067,-13.95816549,-75.23789873
00004054,-13.82665,-75.26008
00004055,-13.92953,-75.34228
00004073,-14.05554201,-74.97682505
00004077,-12.40722519,-74.90135532
00007387,-12.42781511,-74.61853358
00007706,-12.14646667,-74.74689218
00011185,-12.52244936,-74.67119385
00007386,-12.35848242,-74.60732031
00036685,-9.92607406,-76.2377074
00035232,-9.92573191,-76.23784956
00032126,-9.9207648,-76.2410843
00029426,-9.9210496,-76.2372901
00028818,-9.9207648,-76.2410843
